,RecordId,NAICSCode,BusinessType,Sale,Date
0,1,,"Retail and food services sales, total",146376.0,1992-01-01
1,2,,"Retail and food services sales, total",147079.0,1992-02-01
2,3,,"Retail and food services sales, total",159336.0,1992-03-01
3,4,,"Retail and food services sales, total",163669.0,1992-04-01
4,5,,"Retail and food services sales, total",170068.0,1992-05-01
5,6,,"Retail and food services sales, total",168663.0,1992-06-01
6,7,,"Retail and food services sales, total",169890.0,1992-07-01
7,8,,"Retail and food services sales, total",170364.0,1992-08-01
8,9,,"Retail and food services sales, total",164617.0,1992-09-01
9,10,,"Retail and food services sales, total",173655.0,1992-10-01
10,11,,"Retail and food services sales, total",171547.0,1992-11-01
11,12,,"Retail and food services sales, total",208838.0,1992-12-01
12,13,,Retail sales and food services excl motor vehicle and parts,116565.0,1992-01-01
13,14,,Retail sales and food services excl motor vehicle and parts,115862.0,1992-02-01
14,15,,Retail sales and food services excl motor vehicle and parts,124200.0,1992-03-01
15,16,,Retail sales and food services excl motor vehicle and parts,127587.0,1992-04-01
16,17,,Retail sales and food services excl motor vehicle and parts,133608.0,1992-05-01
17,18,,Retail sales and food services excl motor vehicle and parts,130274.0,1992-06-01
18,19,,Retail sales and food services excl motor vehicle and parts,132076.0,1992-07-01
19,20,,Retail sales and food services excl motor vehicle and parts,134928.0,1992-08-01
20,21,,Retail sales and food services excl motor vehicle and parts,128734.0,1992-09-01
21,22,,Retail sales and food services excl motor vehicle and parts,136917.0,1992-10-01
22,23,,Retail sales and food services excl motor vehicle and parts,139187.0,1992-11-01
23,24,,Retail sales and food services excl motor vehicle and parts,175771.0,1992-12-01
24,25,,Retail sales and food services excl gasoline stations,134277.0,1992-01-01
25,26,,Retail sales and food services excl gasoline stations,135499.0,1992-02-01
26,27,,Retail sales and food services excl gasoline stations,147064.0,1992-03-01
27,28,,Retail sales and food services excl gasoline stations,151226.0,1992-04-01
28,29,,Retail sales and food services excl gasoline stations,156619.0,1992-05-01
29,30,,Retail sales and food services excl gasoline stations,155236.0,1992-06-01
30,31,,Retail sales and food services excl gasoline stations,156016.0,1992-07-01
31,32,,Retail sales and food services excl gasoline stations,156539.0,1992-08-01
